pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpern,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbsmaxn,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbeccenn,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_orbincln,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassn,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_radn,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_densn,pl_ttvflag,pl_kepflag,pl_k2flag,ra_str,dec_str,ra,st_raerr,dec,st_decerr,st_posn,st_dist,st_disterr1,st_disterr2,st_distlim,st_distn,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffn,st_mass,st_masserr1,st_masserr2,st_masslim,st_massn,st_rad,st_raderr1,st_raderr2,st_radlim,st_radn,pl_nnotes,rowupdate,pl_facility
Kepler-194,c,Kepler-194 c,Transit,0,3,17.30803200,0.00007900,-0.00007900,0,4,0.131000,,,0,1,,,,,0,,,,,0,,,,,0,,0.231,0.121,-0.121,0,3,,,,,0,0,1,0,19h27m53.15s,+47d51m51.0s,291.971445,0.000031,47.864174,0.000019,2,1133.48,29.68,-29.68,0,3,14.915,,0,Kepler-band,14.912,,0,6089.00,200.00,-200.00,0,6,,,,,1,1.02,0.54,-0.54,0,6,1,2014-05-14,Kepler
Kepler-194,d,Kepler-194 d,Transit,0,3,52.81497300,0.00048100,-0.00048100,0,4,0.275000,,,0,1,,,,,0,,,,,0,,,,,0,,0.214,0.112,-0.112,0,3,,,,,0,0,1,0,19h27m53.15s,+47d51m51.0s,291.971445,0.000031,47.864174,0.000019,2,1133.48,29.68,-29.68,0,3,14.915,,0,Kepler-band,14.912,,0,6089.00,200.00,-200.00,0,6,,,,,1,1.02,0.54,-0.54,0,6,1,2014-05-14,Kepler
Kepler-195,b,Kepler-195 b,Transit,0,2,8.30787200,0.00002000,-0.00002000,0,3,0.077000,,,0,1,,,,,0,,,,,0,,,,,0,,0.181,0.066,-0.066,0,3,,,,,0,1,1,0,19h12m29.03s,+47d58m00.0s,288.120962,0.000031,47.966667,0.000019,2,664.47,9.05,-9.05,0,3,14.813,,0,Kepler-band,14.799,,0,5329.00,200.00,-200.00,0,6,,,,,1,0.78,0.28,-0.28,0,6,1,2014-05-14,Kepler
Kepler-195,c,Kepler-195 c,Transit,0,2,34.09686300,0.00037100,-0.00037100,0,4,0.197000,,,0,1,,,,,0,,,,,0,,,,,0,,0.138,0.051,-0.051,0,3,,,,,0,0,1,0,19h12m29.03s,+47d58m00.0s,288.120962,0.000031,47.966667,0.000019,2,664.47,9.05,-9.05,0,3,14.813,,0,Kepler-band,14.799,,0,5329.00,200.00,-200.00,0,6,,,,,1,0.78,0.28,-0.28,0,6,1,2014-05-14,Kepler
Kepler-196,b,Kepler-196 b,Transit,0,2,20.73988600,0.00006600,-0.00006600,0,4,0.138000,,,0,1,,,,,0,,,,,0,,,,,0,,0.170,0.013,-0.013,0,3,,,,,0,0,1,0,18h59m52.44s,+42d04m45.1s,284.968519,0.000022,42.079205,0.000017,2,457.26,3.19,-3.19,0,3,14.157,,0,Kepler-band,14.103,,0,5128.00,100.00,-100.00,0,6,,,,,1,0.78,0.06,-0.06,0,6,1,2014-05-14,Kepler
Kepler-196,c,Kepler-196 c,Transit,0,2,47.42773700,0.00022300,-0.00022300,0,4,0.240000,,,0,1,,,,,0,,,,,0,,,,,0,,0.200,0.015,-0.015,0,3,,,,,0,1,1,0,18h59m52.44s,+42d04m45.1s,284.968519,0.000022,42.079205,0.000017,2,457.26,3.19,-3.19,0,3,14.157,,0,Kepler-band,14.103,,0,5128.00,100.00,-100.00,0,6,,,,,1,0.78,0.06,-0.06,0,6,1,2014-05-14,Kepler
Kepler-197,b,Kepler-197 b,Transit,0,4,5.59930800,0.00002300,-0.00002300,0,4,0.060000,,,0,1,,,,,1,,,,,0,,,,,0,,0.091,0.004,-0.004,0,4,,,,,0,0,1,0,19h40m54.34s,+50d33m32.4s,295.226435,0.000017,50.559006,0.000017,2,333.75,2.36,-2.36,0,3,11.811,,0,Kepler-band,11.780,,0,6004.00,102.00,-102.00,0,6,,,,,3,1.12,0.03,-0.03,0,8,1,2014-05-14,Kepler
Kepler-197,c,Kepler-197 c,Transit,0,4,10.34969500,0.00004500,-0.00004500,0,6,0.090000,,,0,1,,,,,1,,,,,0,,,,,1,,0.110,0.004,-0.004,0,5,,,,,0,0,1,0,19h40m54.34s,+50d33m32.4s,295.226435,0.000017,50.559006,0.000017,2,333.75,2.36,-2.36,0,3,11.811,,0,Kepler-band,11.780,,0,6004.00,102.00,-102.00,0,6,,,,,3,1.12,0.03,-0.03,0,8,1,2014-05-14,Kepler
Kepler-197,d,Kepler-197 d,Transit,0,4,15.67756300,0.00009600,-0.00009600,0,6,0.119000,,,0,1,,,,,1,,,,,0,,,,,0,,0.109,0.009,-0.009,0,4,,,,,0,0,1,0,19h40m54.34s,+50d33m32.4s,295.226435,0.000017,50.559006,0.000017,2,333.75,2.36,-2.36,0,3,11.811,,0,Kepler-band,11.780,,0,6004.00,102.00,-102.00,0,6,,,,,3,1.12,0.03,-0.03,0,8,1,2014-05-14,Kepler
Kepler-197,e,Kepler-197 e,Transit,0,4,25.20971500,0.00038700,-0.00038700,0,5,0.164000,,,0,1,,,,,1,,,,,0,,,,,0,,0.081,0.004,-0.004,0,4,,,,,0,0,1,0,19h40m54.34s,+50d33m32.4s,295.226435,0.000017,50.559006,0.000017,2,333.75,2.36,-2.36,0,3,11.811,,0,Kepler-band,11.780,,0,6004.00,102.00,-102.00,0,6,,,,,3,1.12,0.03,-0.03,0,8,1,2014-05-14,Kepler
Kepler-198,b,Kepler-198 b,Transit,0,3,17.79003700,0.00003500,-0.00003500,0,4,0.131000,,,0,1,,,,,0,,,,,0,,,,,0,,0.252,0.037,-0.037,0,3,,,,,0,0,1,0,19h22m41.55s,+38d41m27.6s,290.673130,0.000017,38.691011,0.000017,2,502.52,4.34,-4.34,0,3,13.597,,0,Kepler-band,13.566,,0,5574.00,100.00,-100.00,0,6,,,,,2,0.94,0.14,-0.14,0,6,1,2014-05-14,Kepler
Kepler-198,c,Kepler-198 c,Transit,0,3,49.56741600,0.00022000,-0.00022000,0,4,0.259000,,,0,1,,,,,0,,,,,0,,,,,0,,0.220,0.033,-0.033,0,3,,,,,0,0,1,0,19h22m41.55s,+38d41m27.6s,290.673130,0.000017,38.691011,0.000017,2,502.52,4.34,-4.34,0,3,13.597,,0,Kepler-band,13.566,,0,5574.00,100.00,-100.00,0,6,,,,,2,0.94,0.14,-0.14,0,6,1,2014-05-14,Kepler
Kepler-199,b,Kepler-199 b,Transit,0,2,23.63760400,0.00005000,-0.00005000,0,3,0.158000,,,0,1,,,,,0,,,,,0,,,,,0,,0.277,0.050,-0.050,0,3,,,,,0,1,1,0,19h42m14.26s,+40d14m10.6s,295.559419,0.000019,40.236271,0.000017,2,528.99,4.32,-4.32,0,3,13.595,,0,Kepler-band,13.597,,0,5644.00,117.00,-117.00,0,6,,,,,1,0.97,0.17,-0.17,0,6,1,2014-05-14,Kepler
Kepler-199,c,Kepler-199 c,Transit,0,2,67.09340800,0.00019000,-0.00019000,0,4,0.316000,,,0,1,,,,,0,,,,,0,,,,,0,,0.290,0.052,-0.052,0,3,,,,,0,1,1,0,19h42m14.26s,+40d14m10.6s,295.559419,0.000019,40.236271,0.000017,2,528.99,4.32,-4.32,0,3,13.595,,0,Kepler-band,13.597,,0,5644.00,117.00,-117.00,0,6,,,,,1,0.97,0.17,-0.17,0,6,1,2014-05-14,Kepler
Kepler-200,b,Kepler-200 b,Transit,0,2,8.59480500,0.00003600,-0.00003600,0,4,0.080000,,,0,1,,,,,0,,,,,0,,,,,0,,0.190,0.037,-0.037,0,3,,,,,0,0,1,0,18h57m38.38s,+41d14m14.9s,284.409920,0.000017,41.237465,0.000017,2,678.93,7.37,-7.37,0,3,13.984,,0,Kepler-band,13.952,,0,5678.00,100.00,-100.00,0,6,,,,,1,0.94,0.16,-0.16,0,6,1,2014-05-14,Kepler
Kepler-200,c,Kepler-200 c,Transit,0,2,10.22215700,0.00005300,-0.00005300,0,3,0.090000,,,0,1,,,,,0,,,,,0,,,,,0,,0.142,0.026,-0.026,0,3,,,,,0,0,1,0,18h57m38.38s,+41d14m14.9s,284.409920,0.000017,41.237465,0.000017,2,678.93,7.37,-7.37,0,3,13.984,,0,Kepler-band,13.952,,0,5678.00,100.00,-100.00,0,6,,,,,1,0.94,0.16,-0.16,0,6,1,2014-05-14,Kepler
Kepler-201,b,Kepler-201 b,Transit,0,2,25.67208300,0.00007500,-0.00007500,0,4,0.175000,,,0,1,,,,,0,,,,,0,,,,,0,,0.219,0.043,-0.043,0,3,,,,,0,0,1,0,19h34m30.25s,+41d16m22.2s,293.626040,0.000017,41.272827,0.000017,2,648.18,9.91,-9.91,0,3,13.004,,0,Kepler-band,12.920,,0,6065.00,117.00,-117.00,0,6,,,,,2,1.23,0.24,-0.24,0,6,1,2014-05-14,Kepler
